## Source: https://phishradar.org/phishingurls.txt
##
## This file contains phishing link (URLs).
## If you just need the link addresses, process it using the following bash command:
##
##       cat phishingurls.txt | cut -d',' -f1
##
## NOTE: 
## 1~ Data more than 3 months old will be automatically removed from this list.
## 2~ For manual removal from this list, email: remove@phishradar.org
##
sender_domain,date_added,reason
http://playnono4d.com/n5qq,2024-08-16,Fake BTC withrawal PDF
https://dg-blog.com//wp-includes/pomo/mine/voice/,2024-08-16,Fake VOIP notification
http://jiu5674rth-87ytfr45609iu98y76t6t.s3-website-us-west-2.amazonaws.com,2024-08-16,Fake VOIP notification
https://mineralenergi.com/wp-includes/scores/play/on/,2024-08-16/,Fake VOIP notification
http://templatesmine630no87564d56789u908y76r564ds57f87t67564.s3-website-ap-southeast-2.amazonaws.com,2024-08-16,Fake VOIP notification
https://tpmfinances.com/<key>/<id>/target@domain.com,2024-08-15,Fake eSecure Doc Sign Request
https://cc-con.com/gsession.php,2024-08-15,Fake OpenSea Billing Statement
https://kenlive.co.ke/index.php,2024-08-15,Fake OpenSea Billing Statement
https://fuhongconst.com/weo/wetransfer,2024-08-13,Fake WeTransfer file link
https://<random>.workers.dev,2024-08-13,Fake Mandatory Authenticator Update
https://u16564543.ct.sendgrid.net/ls/click?upn=<random>,2024-08-13,Fake FTX Claim Portal
http://jtldb.top/ud6o,2024-08-13,Fake BTC account block PDF email scam
https://organizationcomply.formstack.com/forms/engagement_survey,2024-08-13,Employee engagement survey
https://click.pstmrk.it/[parameters],2024-08-12,Fake Secure Doc eSign
https://gdp.tbadigital.com.br/vendor/zrp/app/?client-request-id=[recipientaddress],2024-08-12,Fake OneDrive share
https://cbsbirango.net,2024-08-12,Fake Coinbase wallet issue
http://pigussiltinimas.lt/tjygf92.html,2024-08-12,Fake Coinbase wallet issue
http://romosolerhub.website/r9v3,2024-08-12,Fake BTC account balance to get blocked
https://restructiurineg-ra-kroll.com/FTX,2024-08-12,Fake FTX Claim Portal
https://emailsilvopi.com/xax[recipientaddress],2024-08-11,BTC extortion|leaked Gemini's databreach
https://clickme.thryv.com/ls/click?upn=<random>,2024-08-09,Fake Docusign/Adobe eSign
https://leposky.com/img/wp-<random>,2024-08-09,Fake Opensea Sold item notification
