## Source: https://phishradar.org/emaildomains.txt
## This file contains phishing email domains.
##
## If you just need the email domains or emails only, get it here:
## https://phishradar.org/emaildomainsfeed.txt
## https://phishradar.org/emailsendersfeed.txt
##
## PhishRadar is on X --> https://x.com/phishradar
##
sender_domain,date_added,reason
codemonk.info,2025-04-04,Phishing
onescall.com,2025-04-04,Phishing
alfa-art.com,2025-04-04,Phishing
anachship-ditech.it.com,2025-04-04,Scam
stratanet.com,2025-04-04,Phishing
osakaya.gr.jp,2025-04-04,Phishing
thestjames.com,2025-04-04,Scam
taylorhawkes-industry.com,2025-04-04,Phishing
e-directory.qsentralkl.com,2025-04-04,Phishing
mail.dnafund.net,2025-04-04,Scam
cfl.rr.com,2025-04-04,VIP Impersonation
jarasdiesel.cl,2025-04-04,Scam
hotrodsonline.com,2025-04-04,Scam
manners.com.au,2025-04-04,Phishing
easytechnicit.com,2025-04-04,Scam
editlayer.com,2025-04-04,Phishing
exodusmyupdate.com,2025-04-04,Phishing
e-directory.qsentralkl.com,2025-04-04,Phishing
ecoterrae.com,2025-04-04,Phishing
stretto.co,2025-04-04,Phishing
basketballgeek.com,2025-04-04,Phishing
airlife.co.jp,2025-04-04,Phishing
cgvizstudio.com,2025-04-04,Phishing
anabuki.gr.jp,2025-04-04,Phishing
mahanparivaar.com,2025-04-04,Phishing
ilearn.edu.mt,2025-04-04,Scam
paroquianovasoure.com.br,2025-04-04,Phishing
dwtcauthority.com,2025-04-04,Phishing
neonemails.com,2025-04-04,Phishing
fr-abc.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
trumbullps.net,2025-03-27,https://x.com/phishradar/status/1904971233390899365
toray-intl.co.jp,2025-03-27,https://x.com/phishradar/status/1904971233390899365
bkkthon.ac.th,2025-03-27,https://x.com/phishradar/status/1904971233390899365
projekty.urtica.pl,2025-03-27,https://x.com/phishradar/status/1904971233390899365
aerodept.edu.ly,2025-03-27,https://x.com/phishradar/status/1904971233390899365
abigailyoungai.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
effec.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
aurora.co.zw,2025-03-27,https://x.com/phishradar/status/1904971233390899365
iacny.org,2025-03-27,https://x.com/phishradar/status/1904971233390899365
jagodagang.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
kiota.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
westernsussexcoc.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
hcdn.gob.ar,2025-03-27,https://x.com/phishradar/status/1904971233390899365
help.clickup.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
rothwellpartners.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
aticorporationusallc.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
msbtc.win,2025-03-27,https://x.com/phishradar/status/1904971233390899365
amioni.ge,2025-03-27,https://x.com/phishradar/status/1904971233390899365
icontactmail3.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
dunham-bush.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
beskedboks.dk,2025-03-27,https://x.com/phishradar/status/1904971233390899365
hausheld.info,2025-03-27,https://x.com/phishradar/status/1904971233390899365
ezsy.io,2025-03-27,https://x.com/phishradar/status/1904971233390899365
jaliscoedu.mx,2025-03-27,https://x.com/phishradar/status/1904971233390899365
gadgetlifeline.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
vmi2519281.contaboserver.net,2025-03-27,https://x.com/phishradar/status/1904971233390899365
arxventure.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
engis.co.il,2025-03-27,https://x.com/phishradar/status/1904971233390899365
mrt.ca,2025-03-27,https://x.com/phishradar/status/1904971233390899365
euro.apple.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
oncare.com.mx,2025-03-27,https://x.com/phishradar/status/1904971233390899365
edm.systex.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
mailgun.heavygari.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
segurcaixaadeslas.es,2025-03-27,https://x.com/phishradar/status/1904971233390899365
beeleads.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
dwinnovation.tech,2025-03-27,https://x.com/phishradar/status/1904971233390899365
depedqc.ph,2025-03-27,https://x.com/phishradar/status/1904971233390899365
lyk.io,2025-03-27,https://x.com/phishradar/status/1904971233390899365
level-7.co.za,2025-03-27,https://x.com/phishradar/status/1904971233390899365
ligabue.it,2025-03-27,https://x.com/phishradar/status/1904971233390899365
lawlessgroup.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
flexcreditcapital.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
bncelbis.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
whimsicalexhibits.eu,2025-03-27,https://x.com/phishradar/status/1904971233390899365
columbus.k12.oh.us,2025-03-27,https://x.com/phishradar/status/1904971233390899365
eurasiancapital.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
diagnosisandsensors.co.zw,2025-03-27,https://x.com/phishradar/status/1904971233390899365
lynkcm-outreach.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
afbcsport.org,2025-03-27,https://x.com/phishradar/status/1904971233390899365
realtracs.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
northern.co,2025-03-27,https://x.com/phishradar/status/1904971233390899365
kochure.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
fiveoceantrade.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
hasaki.vn,2025-03-27,https://x.com/phishradar/status/1904971233390899365
jseltechs.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
etolv.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
botanikgolevleri.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
colonysquaredental.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
cryptoexpodubai.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
equastart.io,2025-03-27,https://x.com/phishradar/status/1904971233390899365
hkname.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
manages-x.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
ms1.hinet.net,2025-03-27,https://x.com/phishradar/status/1904971233390899365
myappletraining.info,2025-03-27,https://x.com/phishradar/status/1904971233390899365
newmansfishfoods.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
ohtori-kk.co.jp,2025-03-27,https://x.com/phishradar/status/1904971233390899365
petersonrefrigeration.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
umayiot.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
virtuals-presale.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
westonpediatricdental.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
x-advanceds.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
x-graces.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
x-introducing.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
x-violate.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
x-violates.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
xauthorized.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
autodeskcommunications.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
aaj.tv,2025-03-27,https://x.com/phishradar/status/1904971233390899365
dlfnrisales.in,2025-03-27,https://x.com/phishradar/status/1904971233390899365
tri-7.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
wynfund.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
huainnoage.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
epicoventuresuse.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
mgroup.my,2025-03-27,https://x.com/phishradar/status/1904971233390899365
johngallina.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
owlseye.net,2025-03-27,https://x.com/phishradar/status/1904971233390899365
nifty.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
13desk.news,2025-03-27,https://x.com/phishradar/status/1904971233390899365
govegastacksolutions.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
postfinanceheritage.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
dxbproj-uae.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
clostrabio.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
mundodosinconfidentes.com.br,2025-03-27,https://x.com/phishradar/status/1904971233390899365
valuzllp.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
constructedgemy.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
kdn.biglobe.ne.jp,2025-03-27,https://x.com/phishradar/status/1904971233390899365
unitedbatteries.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
govegastackservices.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
tryvegastacksolutions.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
supplychainreport.org,2025-03-27,https://x.com/phishradar/status/1904971233390899365
copywise.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
synergy-group.com.my,2025-03-27,https://x.com/phishradar/status/1904971233390899365
mission-leben.de,2025-03-27,https://x.com/phishradar/status/1904971233390899365
pmfus.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
exprealty.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
facilitybot.co,2025-03-27,https://x.com/phishradar/status/1904971233390899365
sita.aero,2025-03-27,https://x.com/phishradar/status/1904971233390899365
initiatewithepicoventures.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
no-reply.uscreen.io,2025-03-27,https://x.com/phishradar/status/1904971233390899365
sunkonnect.in,2025-03-27,https://x.com/phishradar/status/1904971233390899365
3ionetra.in,2025-03-27,https://x.com/phishradar/status/1904971233390899365
bargergroup.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
communication.bpost.be,2025-03-27,https://x.com/phishradar/status/1904971233390899365
eccountant.co,2025-03-27,https://x.com/phishradar/status/1904971233390899365
etrust.fgatrust.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
id.nctu.me,2025-03-27,https://x.com/phishradar/status/1904971233390899365
krowdit.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
losangelesapparel.net,2025-03-27,https://x.com/phishradar/status/1904971233390899365
makelaarssoftware.nl,2025-03-27,https://x.com/phishradar/status/1904971233390899365
ostenbmw.com.br,2025-03-27,https://x.com/phishradar/status/1904971233390899365
sovryn.app,2025-03-27,https://x.com/phishradar/status/1904971233390899365
mycar-india.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
tasks.clickup.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
twint.rocketlane.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
helpdesk.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
qwerty.ru,2025-03-27,https://x.com/phishradar/status/1904971233390899365
reed.net,2025-03-27,https://x.com/phishradar/status/1904971233390899365
eu.hosting-webspace.io,2025-03-27,https://x.com/phishradar/status/1904971233390899365
exceldent.in,2025-03-27,https://x.com/phishradar/status/1904971233390899365
fanstr.nl,2025-03-27,https://x.com/phishradar/status/1904971233390899365
pagodelasencomiendas.es,2025-03-27,https://x.com/phishradar/status/1904971233390899365
ine.mx,2025-03-27,https://x.com/phishradar/status/1904971233390899365
amc.co.th,2025-03-27,https://x.com/phishradar/status/1904971233390899365
breville.com.au,2025-03-27,https://x.com/phishradar/status/1904971233390899365
mg.jibby.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
mg.roa.afciviliancareers.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
my.controlpad.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
weareeightysix.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
vip.163.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
epiclists.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
kexxelgroup.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
up.net,2025-03-27,https://x.com/phishradar/status/1904971233390899365
premierglobal.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
gautosuggest.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
olympiakos.com.cy,2025-03-27,https://x.com/phishradar/status/1904971233390899365
steinkamin.at,2025-03-27,https://x.com/phishradar/status/1904971233390899365
ufpr.br,2025-03-27,https://x.com/phishradar/status/1904971233390899365
paypal.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
preditr3.gr,2025-03-27,https://x.com/phishradar/status/1904971233390899365
mbk.nifty.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
cadena.cloud,2025-03-27,https://x.com/phishradar/status/1904971233390899365
etud.u-picardie.fr,2025-03-27,https://x.com/phishradar/status/1904971233390899365
srbcpa.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
bemol.com.br,2025-03-27,https://x.com/phishradar/status/1904971233390899365
dentrepairroseville.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
smtp.devpros.site,2025-03-27,https://x.com/phishradar/status/1904971233390899365
naisg.co.jp,2025-03-27,https://x.com/phishradar/status/1904971233390899365
afciviliancareers.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
ecombalance.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
iqrix.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
poderdaluz.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
sereneconsultings.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
sritoys.com,2025-03-27,https://x.com/phishradar/status/1904971233390899365
