## Source: https://phishradar.org/emaildomains.txt
## This file contains phishing email domains.
##
## If you just need the email domains / emails only, get it here:
## https://phishradar.org/emaildomainsfeed.txt
## https://phishradar.org/emailsendersfeed.txt
##
## NOTE:
## 1~ Data more than 3 months old will be automatically removed from this list.
## 2~ For manual removal from this list, email: remove@phishradar.org
## 3~ Visit our Twitter at https://x.com/phishradar
##
sender_domain,date_added,reason
hdinc.jp,2024-10-22,Fake DocuSign Request
lmabogados.cl,2024-10-22,Fake e-Payment with HTML attachment
ursa.sa,2024-10-22,Fake Netflix Unsuccessful Payment Notice
kobeacademy.ac.sz,2024-10-22,Fake Netflix Unsuccessful Payment Notice
scrol.io,2024-10-22,Fake Claim SCR Tokens
yogafit.com,2024-10-22,Fake Claim SCR (or Optimism) Tokens
sqn.cr,2024-10-22,Fake Optimism Tokens Airdrop
lido.com,2024-10-22,Fake Lido stETH Rewards
transmitsms.com,2024-10-22,Fake Lido stETH Rewards
t-online.de,2024-10-22,Fake Trust Wallet Immediate Verification Request
siei-iraq.com,2024-10-22,Fake Coinbase Verify with SecurEase
teclock.co.jp,2024-10-21,Fake DocuSign Request
minit.co.jp,2024-10-21,Fake DocuSign Request
jasi.co.jp,2024-10-21,Fake DocuSign Request
surveymonkeyuser.com,2024-10-21,Fake Metamask Wallet has been locked
infinialogic.co.id,2024-10-21,Scam: Financial claim of inherittance as fake next-of-kin
gmv.co.id,2024-10-20,Scam: Financial claim of inherittance as fake next-of-kin
webmaster.com,2024-10-21,Fake Ledger Urgent Update Notice
grupodh.info,2024-10-21,WordPress Compromised: Fake BTC Claim Link
musclepower.bg,2024-10-20,Fake Unauthorized login notice
usaessays.com,2024-10-20,WordPress Compromised: Fake BTC Claim Link
sdnsidomulyo2.sch.id,2024-10-20,WordPress Compromised: Fake BTC Claim Link
badregypt.com,2024-10-20,Fake OpenSea NFT new offer
alucruisero.alucruise.hu,2024-10-20,Fake Coinbase Wallet Security
ankop.com.my,2024-10-20,Fake Coinbase Verify Your Wallet Now
mymarijuanacards.com,2024-10-20,Fake Coinbase Verify Your Wallet Now
vidaliproductions.ch,2024-10-20,WordPress Compromised: Fake BTC Claim Link
batelco.com.bh,2024-10-19,Fake Order Confirmation Link
devlud.com.br,2024-10-19,Fake Email Confirmation Request (Greek Language)
canot-kayak.qc.ca,2024-10-19,WordPress Compromised: Fake BTC Claim Link
getica.ro,2024-10-19,Fake eDoc Sign Request
hygienefachhandel.de,2024-10-18,Fake Confidential Doc Review Request
nordicware.com,2024-10-18,BTC Claim Scam Login Details
s8v.rootuser,2024-10-18,Fake Google Report Update Notice
tqw.rootuser,2024-10-18,Fake Google Report Update Notice
edp.rootuser,2024-10-18,Fake Google Report Update Notice
wry.rootuser,2024-10-18,Fake Google Report Update Notice
kax.rootuser,2024-10-18,Fake Google Report Update Notice
2n4.rootuser,2024-10-18,Fake Google Report Update Notice
yvy.rootuser,2024-10-18,Fake Google Report Update Notice
depositopedernal.com.uy,2024-10-18,Fake Invoice Notice
aikidoiwamabrasil.com.br,2024-10-18,Fake Validation Request for Internet Service
christysigns.com,2024-10-18,Fake New Voice Message
aba.government.bg,2024-10-18,Fake Metamask Wallet Verification Notice
archivist-records.com,2024-10-18,Compromised WordPress: Fake Login Details Notification
nudaproprietaroma.it,2024-10-18,Fake OVH Service Suspension Notice
vps-e0fc7fe3.vps.ovh.net,2024-10-17,Phishing: Fake Document
vps-abd382cd.vps.ovh.net,2024-10-17,Phishing: Fake Document
multifox.pl,2024-10-17,Scam: Donation
neseducationth.com,2024-10-17,Scam: CONFIDENTIAL BUSINESS PROPOSAL
eduqfix.com,2024-10-17,Fake Optimism Airdrop
linkweb.fr,2024-10-17,Fake Linkedin Notification Email
wenwork.org,2024-10-17,New Company Account Creation Notice from a suspicious Crypto Recruitment Company
email-server.com1.in,2024-10-17,Phishing: Fake Pending Message Notification or Annual Leave Compliance Report
biologiaonai.kz,2024-10-16,WordPress Compromised: Generic Phishing
changeilly.com,2024-10-16,Fake Ledger Activate Clear Signing Notification
aksaramaya.com,2024-10-16,Fake Ledger Activate Clear Signing Notification
webethic.fr,2024-10-16,BTC Scam
perfil.com,2024-10-16,Fake Uniswap Aidrop
panatp.ac.th,2024-10-16,Scam: Payment Notice entice to cancelation via phone
probassshop.net,2024-10-16,Fake Adobe Signature Request
traceydillon.com,2024-10-15,Fake DocuSign Request
casavr.it,2024-10-15,Fake OVHcloud Account Suspension notice
no-reply.com,2024-10-15,Fake KuCoin Staking Offer "Kamala vs Donald"
sosep.gob.gt,2024-10-15,Fake Donation Scam
app2foodmail.com,2024-10-15,Fake Opensea NFT New Sales Offer
auxoffice.io,2024-10-15,Fake Ledger "Clear Signing" Email Notification
clearsigning.awsapps.com,2024-10-15,Fake Ledger "Clear Signing" Email Notification
notify.reasonspark.com,2024-10-14,Fake Celcius Claim Distribution via Ethereum Network
sv707.xbiz.ne.jp,2024-10-14,Fake DocuSign Request
sv14133.xserver.jp,2024-10-14,Fake DocuSign Request
email-server.com1.in,2024-10-14,Fake Message Delivery Failed
cj.co.id,2024-10-14,Fake eDoc Signature Request
dial4242.com,2024-10-14,Fake Opensea NFT Sales Offer
clodeo.com,2024-10-14,Fake Opensea NFT Sales Offer
coinspayments.net,2024-10-14,Fake Account on Hold requires updating payment info
icsgeorgia.org,2024-10-14,Fake BTC Claim: WordPress Compromised
correduria2morelos.com,2024-10-13,Fake DocuSign Request
nohg.com,2024-10-13,Fake BTC Claim
capscosmeticum.com,2024-10-13,Fake OpenSea ETH Claim
pservice24.de,2024-10-13,Fake Trust Verify Wallet
costcojapan.jp,2024-10-13,Fake Paypal Notification in Japanese Languange
keukeninbouwcenter.eu,2024-10-12,Fake PDF Sign Request Notification
eveiculos.net.br,2024-10-12,Generic Financial Scam Email
the-fibroid-foundation.classy-mail.org,2024-10-12,Fake Crypto Scam sent to compromised Bittrex data breach's email
franklintempleton.com,2024-10-11,Fake OpenSea New Bid Notification
tumo.co.za,2024-10-11,Fake Optimism Airdrop
itnewsbook.com,2024-10-11,Reconn: Fake Microsoft Representative
samco.in,2024-10-10,Fake Optimism Airdrop
thex.cloud,2024-10-10,Fake OpenSea New Offer
motordna.io,2024-10-10,Fake OpenSea New Offer
telesentinel.com,2024-10-10,Fake OpenSea New Offer
oceanfreshindia.com,2024-10-10,Fake Billing Issue Notification
tandcschool.org,2024-10-10,Fake eDoc Signature Request
taiyohgroup.jp,2024-10-10,Fake Docusign Request
eurocharged.com,2024-10-09,Fake BlockScan Email Notification -> Wallet Connect
imsitechnologies.com,2024-10-09,Fake Payment Confirmation -> Google Login Phishing
proxops.com,2024-10-09,Fake Payment Confirmation -> Google Login Phishing
ynorotor.com,2024-10-09,Fake Payment Confirmation -> Google Login Phishing 
temovo.com,2024-10-09,Fake OpenSea New Offer
blueskybio.com,2024-10-09,Fake Mandatory MFA Validation -> Google Login Phishing
nearfinderus.com,2024-10-09,Fake Lido $LDO Token Claim
gemini.co.com,2024-10-08,Fake Gemini Funds Withdrawal
iconline.co.id,2024-10-08,Fake Investment Scam
firemail.eu,2024-10-08,Fake Investment Scam
szhualilian.com,2024-10-08,Fake Bridge Fund Offer Scam
albadayeracinstallation.com,2024-10-08,Fake eDoc Signature Request
issys.gov.ar,2024-10-07,Fake OpenSea NFT Transfer Notification
visionet.co.id,2024-10-07,Scam: Project Financing Theme
al-ghurairinvestmentgroup.com,2024-10-07,Scam: Project Financing Theme
akdamar.biz,2024-10-07,Fake eDoc Signature Request
maczin.org,2024-10-07,Fake eDoc Signature Request
impresoseldia.com.co,2024-10-07,Fake eDoc Signature Request
akmrabota-tatar.ru,2024-10-07,Fake account deletion notice
motordna.io,2024-10-07,Fake Urgent Trezor Security Update
termebaistrocchi.it,2024-10-06,Fake FTX Restructuring Ad
tacobellbrasil.com.br,2024-10-06,Fake eDoc Signature Request
fubarin.com.mx,2024-10-06,Fake FTX refund - Kroll announcement
facturacion.sistemakp.com,2024-10-05,Fake OP Tokens Airdrop
