## Source: https://phishradar.org/emaildomains.txt
## This file contains phishing email domains.
##
## If you just need the email domains / emails only, get it here:
## https://phishradar.org/emaildomainsfeed.txt
## https://phishradar.org/emailsendersfeed.txt
##
## NOTE: 
## 1~ Data more than 3 months old will be automatically removed from this list.
## 2~ For manual removal from this list, email: remove@phishradar.org
## 3~ Visit our Twitter at https://x.com/phishradar
##
sender_domain,date_added,reason
tetratechnologies.net,2024-09-18,Fake $SQT Airdrop
clearikon.com,2024-09-18,Fake Pending Voice Message
pgcpschools.org,2024-09-18,Fake Pending Voice Message
bivium.co.za,2024-09-18,Fake eDoc Signature Request
felioto.com,2024-09-18,Fake DocuSign Signature Request
ds-manager.com,2024-09-18,Fake DHL Invoice
58475334598.com,2024-09-17,Fake eDoc Signature Request
sbproduction.com.my,2024-09-17,Fake eDoc Signature Request
worldcob.org,2024-09-17,Crytpo Phishing: Compromised Wordpress Site
apanait.com,2024-09-17,Crytpo Phishing: Compromised Wordpress Site
probit.cl,2024-09-17,Fake eDoc Signature Request
amakin.com.sa,2024-09-17,Fake Confidential Business Offer
lfd.cl,2024-09-17,Fake eDoc Signature Request
inemfp.edu.co,2024-09-16,Fake Bill Receipt Payment Request
thewellnessshop.in,2024-09-16,Fake eDoc Signature Request
salesmatemail.com,2024-09-16,Fake BTC Extortion
lazyarchi.com,2024-09-16,Crytpo Phishing: Compromised Wordpress Site
backyardbbqstore.com,2024-09-16,Document FYI Clickbait Email PDF Attachment
infinitypharma.com.br,2024-09-16,Fake PDF Document Nota Fiscal
mg.jjmediauk.co.uk,2024-09-16,Fake OpenSea NFT Offer
contact.happnmail.com,2024-09-16,Fake Metamask Wallet Disabled Email
bosquelastrancas.cl,2024-09-16,Fake eDoc Signature Request
geiafit.com,2024-09-16,Fake OpenSea NFT Offer
meuaqua.com,2024-09-16,Fake OpenSea NFT Offer
metaswitch.cgocable.ca,2024-09-16,Fake Cryptocurrency Scam
coinbase.cl,2024-09-16,Fake Coinbase Account is Under Review Email
6ix.com,2024-09-15,Fake BTC extortion
coinbase.ca,2024-09-15,Fake Coinbase Transaction Alert
mocbrasil.com,2024-09-15,Fake Scareware Device Locked Alert
hiremee.co.in,2024-09-15,Fake VOIP Notification
team-metamask.com,2024-09-15,Fake "Metamask via SurveyMonkey" Account Security Alert
ramseywinch.com,2024-09-15,Reconn: XSS Probes using "bxss.in"
feelgoodedibles.com,2024-09-15,Reconn: XSS Probes using "bxss.in"
menkes.es,2024-09-15,Reconn: XSS Probes using "bxss.in"
veeva.com,2024-09-13,Fake BlockFi Fund Withdrawal
metasenseusa.com,2024-09-13,Phishing via Attachment
exxe.inf.br,2024-09-13,Fake Support Ticket: Suspended Accounts
ifyoubuildit.com,2024-09-13,Fake Document Sharing
eveliko.com,2024-09-13,Fake Voice Message via HTML Attachment
locks-eurobusiness.ro,2024-09-13,Fake Doc Signing Request
videotron.ca,2024-09-13,Fake Remittance Advisory
topnotchpestcontrolfl.com,2024-09-13,Fake DocuSign Signing Request
flycom.ru,2024-09-13,Fake Bit Mining
nico.sa,2024-09-11,Fake eDoc Signature Request
kokkaisecurity.ro,2024-09-11,Fake eDoc Signature Request
goalway.jp,2024-09-11,Fake DocuSign Signature Request
msg.pmaa.info,2024-09-11,Received BTC Crypto Scam
bendablelife.com,2024-09-11,Crytpo Phishing: Compromised Wordpress Site
fletchers.propertyemail.com.au,2024-09-11,Fake BlockFi Fund Withdrawal
everroyal-hk.com,2024-09-11,Fake Urgent PDF Email Notification
alshabani.net,2024-09-11,Fake Account Deactivation Notice
mchsi.com,2024-09-11,Fake Overpaid Remittance Notice
round.com.ar,2024-09-10,Fake eDoc Signature Request
supportmetacx.com,2024-09-10,Fake Free Virtual Card
louisianaairports.org,2024-09-10,Received BTC Crypto Scam
energyrituals.es,2024-09-10,Crytpo Phishing: Compromised Wordpress Site
boura.ikasolution.biz,2024-09-10,Fake Inbound Quarantine Emails
aussiebum.com,2024-09-09,Blockfi Withdraw balance Phishing
mail.freegasco.com,2024-09-09,BTC Extortion from fake Lazarus Group
aydinlarzemin.com,2024-09-09,Crytpo Phishing: Compromised Wordpress Site
tagmeservices.com,2024-09-09,Blockfi Withdraw balance Phishing
mg.adrianzyskowski.pl,2024-09-09,Blockfi Withdraw balance Phishing
mg.vr-world.nl,2024-09-09,Fake Claim Lido (LDO) Token
aminheydari.ir,2024-09-09,Crytpo Phishing: Compromised Wordpress Site
mg.deepcove.eu,2024-09-09,Blockfi Withdraw balance Phishing
harmonie-praxis.de,2024-09-09,Crypto Scam purportedly to Binance Users
purp.ac.th,2024-09-09,Fake AT&T Bill Theme, Call for cancel
promarawards.com,2024-09-09,Fake Microsoft Theme Account Cancelation Notice
travelgirls.de,2024-09-09,Crytpo Phishing: Compromised Wordpress Site
experiencedroofingsd.com,2024-09-09,Crypto Scam to update wallet
powerdyneinternational.com,2024-09-06,Fake Voice Mailbox - Gmail Phishing
cottolengo.org,2024-09-05,Fake password expiry notice
texasdesignagencyllc.com,2024-09-05,Fake payment blocked noticed
bilacode.com,2024-09-05,Fake Email Account Expire Notification
galliansint.com,2024-09-05,Fake eDoc Signature request
remotlog.com,2024-09-04,Fake BlockFi Restructuring Withdrawal
mysiteauditor.com,2024-09-03,Fake Lido Token Airdrop
alshabani.net,2024-09-03,Fake Doc Sharing|withLink
greateasternfa.co.id,2024-09-03,Fake Password Expiry Notification|withLink
maudynetwork.id,2024-09-03,Fake Password Expiry Notification
adfbyemtla.cn,2024-09-03,Unspecified Phishing|withLink
thundridgeparishcouncil.org.uk,2024-09-03,Fake Document Arriving notification|withAttachment
rotest.ro,2024-09-03,Fake Quotation
albertobezerra.com.br,2024-09-03,Fake Doc Sharing|withLink
mildunk.com.au,2024-09-03,Unspecified Phishing
iiemsa.co.za,2024-09-02,Fake Trust Wallet
ucar.rnu.tn,2024-09-01,Fake Blast Airdrop
joyascitrino.cl,2024-09-01,Unspecified Phishing
kolo.deelancer.com,2024-08-31,Unspecified Phishing
famousbirthdays.com,2024-08-31,Unspecified Phishing|Fake Zoom meeting Schedule
lampire.com,2024-08-31,Unspecified Phishing|Zoom meeting invitation
decoragalleries.com,2024-08-31,Unspecified Phishing|Wordpress compromised
mailer.waypointgolf.com,2024-08-31,Fake OpenSea Offer for your NFT Listing
aba.government.bg,2024-08-31,Fake Package Stuck at Custom
t-online.de,2024-08-31,Fake Coinbase Support
remaxfortaleza.com,2024-08-31,Fake Coin Base Wallet Verify
ivatcenters.org,2024-08-31,Fake VoIP Notification
vidamelhor.org.br,2024-08-31,Fake Confidential Doc Theme
sky.plala.or.jp,2024-08-30,Unspecified Phishing
mailer.waypointgolf.com,2024-08-30,Fake NTF Listing
agirpourlecoeurdesfemmes.com,2024-08-30,Unspecified Phishing
mail.ru,2024-08-30,Unspecified Phishing
varsitycollege.co.za,2024-08-30,Fake Trust Wallet
concejomdp.gov.ar,2024-08-30,Malware/Ransomware
lasertre.it,2024-08-30,Fake BTC Claim|compromised Wordpress
masstorage.be,2024-08-30,Fake Coinbase Wallet
gmobb.jp,2024-08-30,Unspecified Phishing
upadpro.in,2024-08-30,Unspecified Phishing
georgedstv.co.za,2024-08-30,Unspecified Phishing
realtracs.com,2024-08-30,Unspecified Phishing
ironcitywoodproducts.com,2024-08-30,Unspecified Phishing
huntree.com.hk,2024-08-30,Unspecified Phishing
pdfaid.co,2024-08-30,Unspecified Phishing
flyplayschools.com,2024-08-30,Unspecified Phishing
openspace.pt,2024-08-30,Unspecified Phishing
thebestpdf.com,2024-08-30,Unspecified Phishing
gepsa.com,2024-08-30,Unspecified Phishing
atlasinternational.com,2024-08-30,Unspecified Phishing
realtracs.com,2024-08-30,Unspecified Phishing
edgehomefinance.com,2024-08-30,Unspecified Phishing
warmupguy.com,2024-08-30,Unspecified Phishing
georgedstv.co.za,2024-08-30,Unspecified Phishing
innobaytechnologies.com,2024-08-28,Fake Tether USDT Claim|leaked Gemini's databreach
qtaapp.com,2024-08-28,Fake BTC Claim|compromised Wordpress site
empretec.org.ar,2024-08-28,Fake eDoc Signature Request
edgehomefinance.com,2024-08-28,Fake Payment Document Notice
warmupguy.com,2024-08-28,Fake Enable 2FA Notice
georgedstv.co.za,2024-08-28,Fake Enable 2FA Notice
wilcographics.com,2024-08-28,Fake Enable 2FA Notice
blitermeng.com,2024-08-28,Fake Enable 2FA Notice
montecitomag.com,2024-08-28,Fake Payment Document Notice
ecorivas.cl,2024-08-28,Fake BTC Claim|compromised Wordpress site
shahrbabak.org,2024-08-28,Fake BTC Claim|compromised Wordpress site
plastic.es,2024-08-26,Fake OpenSea NFT Sold Notification
fextemp.com,2024-08-26,Fake OpenSea NFT Sold Notification
policia.pr.gov,2024-08-26,Fake Office 365 Password Expiry Notice
samongcity.info,2024-08-26,Fake BTC Claim|compromised Wordpress site
ds1082.tmddedicated.eu,2024-08-26,Fake BTC Claim|compromised Wordpress site
web.groomingcentre.org,2024-08-26,Fake BTC Claim|compromised Wordpress site
as2093.com,2024-08-26,Fake BTC Claim|compromised Wordpress site
vottaora.org,2024-08-26,Fake Domain Registrar Verification Email
samongcity.info,2024-08-26,Fake BTC Claim|compromised Wordpress site
ds1082.tmddedicated.eu,2024-08-26,Fake BTC Claim|compromised Wordpress site
as2093.com,2024-08-26,Fake BTC Claim|compromised Wordpress site
dominiquesfede.com,2024-08-26,Fake BTC Claim|compromised Wordpress site
toserbateknologi.com,2024-08-26,Fake BTC Claim|compromised Wordpress site
grupogarces.net,2024-08-23,Fake HR Letter
tagsbrands.com,2024-08-23,Fake OpenSea NFT Sold
fexpost.com,2024-08-23,Fake OpenSea NFT Sold
codescreen.com,2024-08-23,BTC Extortion Porn Malware Theme
obamplified.com,2024-08-22,Unsolicited login page phishing
alphapod.com,2024-08-22,BTC extortion|fake malware porn
exodus-updates.io,2024-08-22,Crytpo wallet passphrase phising
thakham.ac.th,2024-08-22,Fake cancel money request
campaign.renault.com,2024-08-21,Fake Uniswap Airdrop|leaked Gemini's databreach
mediacenter.hu,2024-08-21,Fake NFT Claim|leaked moneybookers' databreach
puzzosrestaurant.com,2024-08-21,Fake HR Circular
consultantshashcash.com,2024-08-20,Fake Remote Job Offer
sangastadium-by-kyocera.jp,2024-08-20,Fake DocuSign Request
esem.jp,2024-08-20,Fake DocuSign Request
