## Source: https://phishradar.org/phishingurls.txt
## This file contains phishing link (URLs).
##
## If you just need the phishing URLs / Domains only, get it here:
## https://phishradar.org/phishingurlsfeed.txt
## https://phishradar.org/phishingdomainsfeed.txt
##
## NOTE: 
## 1~ Data more than 3 months old will be automatically removed from this list.
## 2~ For manual removal from this list, email: remove@phishradar.org
## 3~ Visit our Twitter at https://x.com/phishradar
##
sender_domain,date_added,reason
http://link.hello.aussiebum.com/ls/click?upn=u001.7YP3QNyWdhiABSI06P4RszJ6NJ1euhs-2F889yNmaJDUzcy1l3s-2BM8AAYZtGEwQk29ytZ9PXNO9XMlW3qvXFOsMSyeR5APKee2jLNIs-2BwJxxrrxMz6AEAAXPuCpkOCJm9QfQKruyvrhbnFtkjf-2FA5NXu8kAOutgvuFo896ujEPVFI-3D0Lwo_ejAL9GIvUqHUzPZTQtnEKfcQf1R2ZvkBfOKj03MNmB15-2B1DYonubpzyiET0NSHx1Ao-2FvYzMZn1iZ-2FkdEbB8P1fwu-2Fgr0-2FXiUrU-2B5M-2FuLuKAgLB496xjVUDeXCLibtYo7neoKuyL035gt3aaxu8M1JhT9-2B8rYS1kkLP4IH9h1Z9OMSYK0vceuxnVxkMxH59XEdfRE9oS-2BmJQ-2FdaLJBpAmDA-3D-3D,2024-09-09,Blockfi Withdraw balance Phishing
https://floristeriatamira.com/wp-login.php?action=rp&key=rzU1ko6Ol7mOubturUSB&login=www.gndrrx.blogspot.am%20-%20BTC%2072%20526%20USD%20wo%20vey,2024-09-09,BTC Extortion from fake Lazarus Group
www.gndrrx.blogspot.am,2024-09-09,BTC Extortion from fake Lazarus Group
https://fore-mining.top/payouts/,2024-09-09,BTC Extortion from fake Lazarus Group
https://aydinlarzemin.com/wp-login.php?action=rp&key=YyFrTZs1M68hRwWRY96H&login=www.bgdhxx.blogspot.al%20-%20BTC%20165566%20USD%20tqvrv,2024-09-09,Crypto Scam via WordPress Compromised Website
www.bgdhxx.blogspot.al,2024-09-09,Crypto Scam via WordPress Compromised Website
http://email.tagmeservices.com/c/eJwcjMtuwyAQAL8Gbo3WC2TNgUNTlf_Am_VDtSEyNJb_vnIvozmM5hmIEianJXSEjtDfjdVz8NANSdinoRuBmMxIznnjRrDYs4BeAgJa8EAICMbcKDpzhz7ar949Ht-9stDStEmV_b2w1BuXTa9hbu1VlflUGBXG2lJbSpb9bO28CoXxeH0smdffp1SFcVgL_1zC20W9h1MOnkuelIVcplX-x--AfwEAAP__mro9UA,2024-09-09,Blockfi Withdraw balance Phishing
https://stationerytty.com/wp-includes/blocks/cms/,2024-09-09,Blockfi Withdraw balance Phishing
http://stakeholders-lido.fi,2024-09-09,Fake Claim Lido (LDO) Token
https://aminheydari.ir/wp-login.php?action=rp&key=lkTB6Li1s221DCAAfQZJ&login=www.ngrzwq.blogspot.fi%20-%20BTC%2073282%20USD%20leuyd,2024-09-09,Crypto Scam via WordPress Compromised Website
https://stationerytty.com/wp-includes/blocks/cms/,2024-09-09,Blockfi Withdraw balance Phishing
https://email.msg.pmaa.info/o/eJxs0D1PwzAQxvFPU29EjmPnZbiFioECA1IpFUvk-s6tIfaF1G0pnx4VMTB0fx7pp7_rA8ITptXD47rh99fNol3dnufPS4HgrWw6IwjKRpnadGXVCoo2DH0-jwSTPQlKxzBxipQyjBPjweXASexAW6srUxnf-Y2XBjultHHoPRHWJZIIoKTSspO1KrWp2qKtKmlQ-abuFLbkZlrG_bYYo7VFSJ7FwL_YWH5iM_9Yfuf1-PV2t7h_Oc1FpLxjBDsGkTgHH5y9QPo9HyZH4IZAKd-MPGU7iAnOdHI7TtuZlom3AxWOo_jb_v-LDI5jf7VPhgvoquYI6icAAP__8650RA,2024-09-09,Crypto Scam via WordPress Compromised Website
